id_partido,fecha,estado,equipo_local,equipo_visitante,puntos_local,puntos_visitante
401695066,2025-04-08T17:10Z,Final,Detroit Tigers,New York Yankees,5,0
401695063,2025-04-08T20:10Z,Final,Cleveland Guardians,Chicago White Sox,1,0
401695065,2025-04-08T20:10Z,Final,New York Mets,Miami Marlins,10,5
401695053,2025-04-07T19:10Z,Final,Detroit Tigers,New York Yankees,6,2
401695054,2025-04-07T22:40Z,Final,Pittsburgh Pirates,St. Louis Cardinals,8,4
401695051,2025-04-07T22:45Z,Final,Washington Nationals,Los Angeles Dodgers,6,4
401695055,2025-04-07T22:45Z,Final,Boston Red Sox,Toronto Blue Jays,2,6
401695052,2025-04-07T23:10Z,Final,New York Mets,Miami Marlins,2,0
401695056,2025-04-07T23:40Z,Final,Kansas City Royals,Minnesota Twins,4,2
401695057,2025-04-07T23:40Z,Final,Chicago Cubs,Texas Rangers,7,0
401695058,2025-04-08T01:40Z,Final,Arizona Diamondbacks,Baltimore Orioles,1,5
401695060,2025-04-08T01:40Z,Final,Seattle Mariners,Houston Astros,4,3
401695059,2025-04-08T01:45Z,Final,San Francisco Giants,Cincinnati Reds,0,2
401764522,2025-04-08T02:05Z,Final,Athletics,San Diego Padres,4,5
401695036,2025-04-06T17:35Z,Final,Washington Nationals,Arizona Diamondbacks,5,4
401695038,2025-04-06T17:35Z,Final,Philadelphia Phillies,Los Angeles Dodgers,8,7
401695040,2025-04-06T17:35Z,Final,Pittsburgh Pirates,New York Yankees,5,4
401766602,2025-04-06T17:35Z,Final,Boston Red Sox,St. Louis Cardinals,5,4
401695037,2025-04-06T17:40Z,Final,Detroit Tigers,Chicago White Sox,4,3
401695042,2025-04-06T17:40Z,Final,New York Mets,Toronto Blue Jays,2,1
401695043,2025-04-06T18:10Z,Final,Kansas City Royals,Baltimore Orioles,4,1
401695044,2025-04-06T18:10Z,Final,Milwaukee Brewers,Cincinnati Reds,8,2
401695045,2025-04-06T18:10Z,Final,Minnesota Twins,Houston Astros,7,9
401695046,2025-04-06T18:20Z,Final,Chicago Cubs,San Diego Padres,7,8
401695047,2025-04-06T18:35Z,Final,Texas Rangers,Tampa Bay Rays,4,3
401695048,2025-04-06T19:10Z,Final,Colorado Rockies,Athletics,12,5
401695050,2025-04-06T20:05Z,Final,San Francisco Giants,Seattle Mariners,5,4
401695049,2025-04-06T20:07Z,Final,Los Angeles Angels,Cleveland Guardians,6,2
401695041,2025-04-06T23:00Z,Final,Boston Red Sox,St. Louis Cardinals,18,7
401695022,2025-04-05T17:10Z,Final,Detroit Tigers,Chicago White Sox,7,2
401695030,2025-04-05T18:10Z,Final,Minnesota Twins,Houston Astros,6,1
401695031,2025-04-05T18:20Z,Final,Chicago Cubs,San Diego Padres,7,1
401695021,2025-04-05T20:05Z,Final,Washington Nationals,Arizona Diamondbacks,4,3
401695023,2025-04-05T20:05Z,Final,Philadelphia Phillies,Los Angeles Dodgers,1,3
401695025,2025-04-05T20:05Z,Final,Pittsburgh Pirates,New York Yankees,4,10
401695028,2025-04-05T20:10Z,Final,Kansas City Royals,Baltimore Orioles,1,8
401695032,2025-04-05T23:05Z,Final,Texas Rangers,Tampa Bay Rays,6,4
401695027,2025-04-05T23:10Z,Final,New York Mets,Toronto Blue Jays,3,2
401695029,2025-04-05T23:10Z,Final,Milwaukee Brewers,Cincinnati Reds,7,11
401695024,2025-04-05T23:15Z,Final,Atlanta Braves,Miami Marlins,0,4
401695033,2025-04-06T00:10Z,Final,Colorado Rockies,Athletics,4,7
401695035,2025-04-06T01:05Z,Final,San Francisco Giants,Seattle Mariners,4,1
